,,,,,,,,,,,
,,,,,,,,,,,
Row Labels,Min of PREV.READING,Max of CURRENTREADING,Sum of TOTALKM,,,,,,,,AAA
MH14GD4458,451584,455584,4000,,MH14GD4458,451584,455584,4000,,4000,0
MH14GD4460,469857,474868,5011,,MH14GD4460,469857,474868,5011,,5011,0
MH14GD4572,0,0,0,,MH14GD4572,0,0,0,,0,0
MH14GD5136,450215,451965,1750,,MH14GD5136,450215,451965,1750,,1750,0
MH14GD7245,0,0,0,,MH14GD7245,0,0,0,,0,0
MH14GD9102,291380,294365,2985,,MH14GD9102,291380,294365,2985,,2985,0
MH14GD9106,437895,440198,2303,,MH14GD9106,437895,440198,2303,,2303,0
MH14GD9109,307883,309932,2049,,MH14GD9109,307883,309932,2049,,2049,0
MH14GD9116,0,0,0,,MH14GD9116,0,0,0,,0,0
MH14GD9122,520023,522094,2071,,MH14GD9122,520023,522094,2071,,2071,0
MH14GD9124,324747,326827,2080,,MH14GD9124,324747,326827,2080,,2080,0
MH14GD9126,452685,453765,1080,,MH14GD9126,452685,453765,1080,,1080,0
MH14GD9129,302828,303124,296,,MH14GD9129,302828,303124,296,,296,0
MH14GU6172,308935,309443,508,,MH14GU6172,308935,309443,508,,508,0
MH14HG2520,211878,214856,2978,,MH14HG2520,211878,214856,2978,,2978,0
MH14HG3112,272332,276572,4240,,MH14HG3112,272332,276572,4240,,4240,0
MH14HG3113,284147,284781,634,,MH14HG3113,284147,284781,634,,634,0
MH14HG3114,232839,234213,1374,,MH14HG3114,232839,234213,1374,,1374,0
MH14HG3115,265548,268214,2666,,MH14HG3115,265548,268214,2666,,2666,0
MH14HG3116,285129,287965,2836,,MH14HG3116,285129,287965,2836,,2836,0
MH14HG3117,242586,244125,1539,,MH14HG3117,242586,244125,1539,,1539,0
MH14HG3119,239557,241654,2097,,MH14HG3119,239557,241654,2097,,2097,0
MH14HG3816,0,0,0,,MH14HG3816,0,0,0,,0,0
MH14HG5612,411985,416975,4990,,MH14HG5612,411985,416975,4990,,4990,0
MH14HG5613,72091,75908,3817,,MH14HG5613,72091,75908,3817,,3817,0
MH14HG5614,377226,384965,7739,,MH14HG5614,377226,384965,7739,,7739,0
MH14HG5615,308988,313954,4966,,MH14HG5615,308988,313954,4966,,4966,0
MH14HG5617,405423,411740,6317,,MH14HG5617,405423,411740,6317,,6317,0
MH14HG6857,352393,354563,2170,,MH14HG6857,352393,354563,2170,,2170,0
MH14HG7555,0,0,0,,MH14HG7555,0,0,0,,0,0
MH14HG7929,0,0,0,,MH14HG7929,0,0,0,,0,0
MH14HG8154,0,0,0,,MH14HG8154,0,0,0,,0,0
MH14HG9379,46035,47987,1952,,MH14HG9379,46035,47987,1952,,1952,0
MH14HG9380,288405,293554,5149,,MH14HG9380,288405,293554,5149,,5149,0
MH14HU0836,318250,320072,1822,,MH14HU0836,318250,320072,1822,,1822,0
MH14HU0837,347511,352654,5143,,MH14HU0837,347511,352654,5143,,5143,0
MH14HU3978,193952,196536,2584,,MH14HU3978,193952,196536,2584,,2584,0
MH14HU3979,204741,206825,2084,,MH14HU3979,204741,206825,2084,,2084,0
MH14HU3980,233367,235927,2560,,MH14HU3980,233367,235927,2560,,2560,0
MH14HU3981,255389,257725,2336,,MH14HU3981,255389,257725,2336,,2336,0
MH14HU3982,233546,235924,2378,,MH14HU3982,233546,235924,2378,,2378,0
MH14HU3983,186002,189102,3100,,MH14HU3983,186002,189102,3100,,3100,0
MH14HU3984,226421,228724,2303,,MH14HU3984,226421,228724,2303,,2303,0
MH14HU3985,186473,189324,2851,,MH14HU3985,186473,189324,2851,,2851,0
MH14HU5220,0,0,0,,MH14HU5220,0,0,0,,0,0
MH14HU9544,0,0,0,,MH14HU9544,0,0,0,,0,0
MH14KA1499,233987,239461,5474,,MH14KA1499,233987,239461,5474,,5474,0
MH14KA1737,161740,165869,4129,,MH14KA1737,161740,165869,4129,,4129,0
MH14KA1738,153448,154765,1317,,MH14KA1738,153448,154765,1317,,1317,0
MH14KA1739,161338,164897,3559,,MH14KA1739,161338,164897,3559,,3559,0
MH14KA1740,177271,181212,3941,,MH14KA1740,177271,181212,3941,,3941,0
MH14KA1741,135813,138915,3102,,MH14KA1741,135813,138915,3102,,3102,0
MH14KA1742,154345,157879,3534,,MH14KA1742,154345,157879,3534,,3534,0
MH14KA1743,94239,95964,1725,,MH14KA1743,94239,95964,1725,,1725,0
MH14KA1744,164875,168610,3735,,MH14KA1744,164875,168610,3735,,3735,0
MH14KA1745,97300,98398,1098,,MH14KA1745,97300,98398,1098,,1098,0
MH14KA1763,124566,127594,3028,,MH14KA1763,124566,127594,3028,,3028,0
MH14KA1764,146887,148724,1837,,MH14KA1764,146887,148724,1837,,1837,0
MH14KA1765,157009,160894,3885,,MH14KA1765,157009,160894,3885,,3885,0
MH14KA1878,57287,58592,1305,,MH14KA1878,57287,58592,1305,,1305,0
MH14KA1879,194778,198418,3640,,MH14KA1879,194778,198418,3640,,3640,0
MH14KA1880,216908,225893,8985,,MH14KA1880,216908,225893,8985,,8985,0
MH14KA1882,163720,167976,4256,,MH14KA1882,163720,167976,4256,,4256,0
MH14KA1883,196780,200976,4196,,MH14KA1883,196780,200976,4196,,4196,0
MH14KA1886,197077,200299,3222,,MH14KA1886,197077,200299,3222,,3222,0
MH14KA1887,62014,63450,1436,,MH14KA1887,62014,63450,1436,,1436,0
MH14KA1888,169881,172339,2458,,MH14KA1888,169881,172339,2458,,2458,0
MH14KA1889,63779,65444,1665,,MH14KA1889,63779,65444,1665,,1665,0
MH14KA1890,120317,122997,2680,,MH14KA1890,120317,122997,2680,,2680,0
MH14KA1891,61296,63035,1739,,MH14KA1891,61296,63035,1739,,1739,0
MH14KA1892,61591,62602,1011,,MH14KA1892,61591,62602,1011,,1011,0
MH14KA1893,165898,169728,3830,,MH14KA1893,165898,169728,3830,,3830,0
MH14KA1894,130649,138211,7562,,MH14KA1894,130649,138211,7562,,7562,0
MH14KA1895,173853,176696,2843,,MH14KA1895,173853,176696,2843,,2843,0
MH14KA1897,214493,217554,3061,,MH14KA1897,214493,217554,3061,,3061,0
MH14KA1898,167005,170264,3259,,MH14KA1898,167005,170264,3259,,3259,0
MH14KA1901,188488,192663,4175,,MH14KA1901,188488,192663,4175,,4175,0
MH14KA1902,167755,170841,3086,,MH14KA1902,167755,170841,3086,,3086,0
MH14KA1903,148718,151147,2429,,MH14KA1903,148718,151147,2429,,2429,0
MH14KA1904,149297,153013,3716,,MH14KA1904,149297,153013,3716,,3716,0
MH14KA1905,210644,214713,4069,,MH14KA1905,210644,214713,4069,,4069,0
MH14KA1906,166761,170835,4074,,MH14KA1906,166761,170835,4074,,4074,0
MH14KA1907,201187,204759,3572,,MH14KA1907,201187,204759,3572,,3572,0
MH14KA1909,153186,157046,3860,,MH14KA1909,153186,157046,3860,,3860,0
MH14KA1910,154496,158653,4157,,MH14KA1910,154496,158653,4157,,4157,0
MH14KA1912,220862,227120,6258,,MH14KA1912,220862,227120,6258,,6258,0
MH14KA1913,294533,302482,7949,,MH14KA1913,294533,302482,7949,,7949,0
MH14KA1914,126448,128503,2055,,MH14KA1914,126448,128503,2055,,2055,0
MH14KA1915,257885,262513,4628,,MH14KA1915,257885,262513,4628,,4628,0
MH14KA1916,136331,138791,2460,,MH14KA1916,136331,138791,2460,,2460,0
MH14KA2463,136266,140320,4054,,MH14KA2463,136266,140320,4054,,4054,0
MH14KA2464,143550,147192,3642,,MH14KA2464,143550,147192,3642,,3642,0
MH14KA2465,249268,253962,4694,,MH14KA2465,249268,253962,4694,,4694,0
MH14KA2467,149433,153252,3819,,MH14KA2467,149433,153252,3819,,3819,0
MH14KA2469,139901,142933,3032,,MH14KA2469,139901,142933,3032,,3032,0
MH14KA2554,174641,179872,5231,,MH14KA2554,174641,179872,5231,,5231,0
MH14KA2556,162420,166134,3714,,MH14KA2556,162420,166134,3714,,3714,0
MH14KA2557,208770,217105,8335,,MH14KA2557,208770,217105,8335,,8335,0
MH14KA2558,216848,224031,7183,,MH14KA2558,216848,224031,7183,,7183,0
MH14KA2559,147503,149936,2433,,MH14KA2559,147503,149936,2433,,2433,0
MH14KA2560,178655,182978,4323,,MH14KA2560,178655,182978,4323,,4323,0
MH14KA2561,237058,239329,2271,,MH14KA2561,237058,239329,2271,,2271,0
MH14KA2562,146591,149071,2480,,MH14KA2562,146591,149071,2480,,2480,0
MH14KA2563,135496,141687,6191,,MH14KA2563,135496,141687,6191,,6191,0
MH14KA2569,167232,170632,3400,,MH14KA2569,167232,170632,3400,,3400,0
MH14KA2570,178284,180322,2038,,MH14KA2570,178284,180322,2038,,2038,0
MH14KA2591,138028,141139,3111,,MH14KA2591,138028,141139,3111,,3111,0
MH14KA2602,165430,169125,3695,,MH14KA2602,165430,169125,3695,,3695,0
MH14KA2731,173744,177921,4177,,MH14KA2731,173744,177921,4177,,4177,0
MH14KA2806,121208,122706,1498,,MH14KA2806,121208,122706,1498,,1498,0
MH14KA2807,177177,181188,4011,,MH14KA2807,177177,181188,4011,,4011,0
MH14KA2808,125730,129434,3704,,MH14KA2808,125730,129434,3704,,3704,0
MH14KA2809,149006,152765,3759,,MH14KA2809,149006,152765,3759,,3759,0
MH14KA2810,167758,170617,2859,,MH14KA2810,167758,170617,2859,,2859,0
MH14KA2811,187813,190965,3152,,MH14KA2811,187813,190965,3152,,3152,0
MH14KA2812,128318,130948,2630,,MH14KA2812,128318,130948,2630,,2630,0
MH14KA2813,117794,118881,1087,,MH14KA2813,117794,118881,1087,,1087,0
MH14KA2814,157501,160604,3103,,MH14KA2814,157501,160604,3103,,3103,0
MH14KA2815,193468,196662,3194,,MH14KA2815,193468,196662,3194,,3194,0
MH14KA2816,119117,124319,5202,,MH14KA2816,119117,124319,5202,,5202,0
MH14KA2817,149787,155266,5479,,MH14KA2817,149787,155266,5479,,5479,0
MH14KA2818,128772,131220,2448,,MH14KA2818,128772,131220,2448,,2448,0
MH14KA2819,186034,188154,2120,,MH14KA2819,186034,188154,2120,,2120,0
MH14KA2820,124617,127088,2471,,MH14KA2820,124617,127088,2471,,2471,0
MH14KA2879,192301,196699,4398,,MH14KA2879,192301,196699,4398,,4398,0
MH14KA2880,148773,152130,3357,,MH14KA2880,148773,152130,3357,,3357,0
MH14KA2923,159213,163634,4421,,MH14KA2923,159213,163634,4421,,4421,0
MH14KA2924,118152,122054,3902,,MH14KA2924,118152,122054,3902,,3902,0
MH14KA2925,189791,193958,4167,,MH14KA2925,189791,193958,4167,,4167,0
MH14KA2935,151468,154924,3456,,MH14KA2935,151468,154924,3456,,3456,0
MH14KA3010,193729,196849,3120,,MH14KA3010,193729,196849,3120,,3120,0
MH14KA3310,157962,160763,2801,,MH14KA3310,157962,160763,2801,,2801,0
MH14KA3311,165945,169038,3093,,MH14KA3311,165945,169038,3093,,3093,0
MH14KA3312,225984,232152,6168,,MH14KA3312,225984,232152,6168,,6168,0
MH14KA3315,152140,153314,1174,,MH14KA3315,152140,153314,1174,,1174,0
MH14KA3316,168359,170625,2266,,MH14KA3316,168359,170625,2266,,2266,0
MH14KA4846,0,0,0,,MH14KA4846,0,0,0,,0,0
MH14KA9138,114405,116932,2527,,MH14KA9138,114405,116932,2527,,2527,0
MH14KA9139,114763,117325,2562,,MH14KA9139,114763,117325,2562,,2562,0
MH14KA9141,101106,104324,3218,,MH14KA9141,101106,104324,3218,,3218,0
MH14KA9143,93987,96612,2625,,MH14KA9143,93987,96612,2625,,2625,0
MH14KA9148,108903,112101,3198,,MH14KA9148,108903,112101,3198,,3198,0
MH14KA9150,127756,131325,3569,,MH14KA9150,127756,131325,3569,,3569,0
MH14KA9152,116096,118724,2628,,MH14KA9152,116096,118724,2628,,2628,0
MH14KA9502,0,0,0,,MH14KA9502,0,0,0,,0,0
MH14KA9520,0,8108,8108,,MH14KA9520,0,8108,8108,,8108,0
MH14KQ1004,83167,86205,3038,,MH14KQ1004,83167,86205,3038,,3038,0
MH14KQ3557,0,0,0,,MH14KQ3557,0,0,0,,0,0
MH14KQ5220,0,0,0,,MH14KQ5220,0,0,0,,0,0
MH14KQ5693,0,0,0,,MH14KQ5693,0,0,0,,0,0
MH14KQ9520,0,0,0,,MH14KQ9520,0,0,0,,0,0
MH14KQ9848,0,0,0,,MH14KQ9848,0,0,0,,0,0
MH14KU2284,0,0,0,,MH14KU2284,0,0,0,,0,0
MH14LB2783,0,0,0,,MH14LB2783,0,0,0,,0,0
MH14LB2872,71135,73306,2171,,MH14LB2872,71135,73306,2171,,2171,0
MH14LB2873,0,0,0,,MH14LB2873,0,0,0,,0,0
MH14LB2874,72505,75288,2783,,MH14LB2874,72505,75288,2783,,2783,0
MH14LB2875,111656,114924,3268,,MH14LB2875,111656,114924,3268,,3268,0
MH14LB2876,99540,103384,3844,,MH14LB2876,99540,103384,3844,,3844,0
MH14LB2877,114426,117835,3409,,MH14LB2877,114426,117835,3409,,3409,0
MH14LB3843,99858,102924,3066,,MH14LB3843,99858,102924,3066,,3066,0
MH14LB3844,94789,98859,4070,,MH14LB3844,94789,98859,4070,,4070,0
MH14LB3845,92481,95966,3485,,MH14LB3845,92481,95966,3485,,3485,0
MH14LB3846,107884,112365,4481,,MH14LB3846,107884,112365,4481,,4481,0
MH14LB3847,78957,82536,3579,,MH14LB3847,78957,82536,3579,,3579,0
MH14LB3848,111931,114835,2904,,MH14LB3848,111931,114835,2904,,2904,0
MH14LB3849,97013,99792,2779,,MH14LB3849,97013,99792,2779,,2779,0
MH14LB3879,104174,106099,1925,,MH14LB3879,104174,106099,1925,,1925,0
MH14LB3984,55166,57614,2448,,MH14LB3984,55166,57614,2448,,2448,0
MH14LB3985,82676,86728,4052,,MH14LB3985,82676,86728,4052,,4052,0
MH14LB3986,106465,108274,1809,,MH14LB3986,106465,108274,1809,,1809,0
MH14LB3987,58314,60715,2401,,MH14LB3987,58314,60715,2401,,2401,0
MH14LB3988,67619,68864,1245,,MH14LB3988,67619,68864,1245,,1245,0
MH14LB3989,96806,100025,3219,,MH14LB3989,96806,100025,3219,,3219,0
MH14LB3990,70990,74325,3335,,MH14LB3990,70990,74325,3335,,3335,0
MH14LB3991,94626,98973,4347,,MH14LB3991,94626,98973,4347,,4347,0
MH14LB4534,71992,76644,4652,,MH14LB4534,71992,76644,4652,,4652,0
MH14LB4535,110180,113654,3474,,MH14LB4535,110180,113654,3474,,3474,0
MH14LB4966,116891,120259,3368,,MH14LB4966,116891,120259,3368,,3368,0
MH14LB5344,104069,106098,2029,,MH14LB5344,104069,106098,2029,,2029,0
MH14LB5428,0,0,0,,MH14LB5428,0,0,0,,0,0
MH14LB5814,64983,66265,1282,,MH14LB5814,64983,66265,1282,,1282,0
MH14LB5815,45435,47025,1590,,MH14LB5815,45435,47025,1590,,1590,0
MH14LB5817,73466,75905,2439,,MH14LB5817,73466,75905,2439,,2439,0
MH14LB5818,30857,32215,1358,,MH14LB5818,30857,32215,1358,,1358,0
MH14LB5820,40572,42729,2157,,MH14LB5820,40572,42729,2157,,2157,0
MH14LB5821,74727,83354,8627,,MH14LB5821,74727,83354,8627,,8627,0
MH14LB5914,191013,197562,6549,,MH14LB5914,191013,197562,6549,,6549,0
MH14LB5915,123589,128282,4693,,MH14LB5915,123589,128282,4693,,4693,0
